P Wave Onset Error,S Wave Onset Error,Coda Error,S-P Lag,Distance from Epicenter (km)
0.010000228881835938,0.4499994659423834,-0.759999084472657,12.38,148.56
-0.19000005722045898,-0.01999916076660213,-31.630001831054688,11.799999999999999,141.59999999999997
-0.34999990463256836,-0.12000068664550767,-6.1499993896484355,12.01,144.11999999999998
-0.21000003814697266,-0.030000610351560653,1.5799995422363295,12.040000000000001,144.48
-0.11999988555908203,-0.09999931335449119,1.0199998474121088,11.990000000000002,143.88
-0.07000017166137695,0.3299993133544916,0.8299990844726572,12.93,155.15999999999997
0.0,-0.13000015258788977,-1.079999771118164,12.71,152.51999999999998
-6.860000133514404,-0.18999916076660028,5.8900002288818385,19.05,228.6
-0.019999980926513672,0.13999916076660313,-21.92000045776367,12.780000000000001,153.35999999999999
-0.2199997901916504,0.07999954223632955,-0.1399993896484375,12.07,144.83999999999997
-0.13000011444091797,0.2200001525878914,0.12000083923339844,9.510000000000002,114.12
-0.05000019073486328,-0.08999984741210909,-1.2499998474121092,11.37,136.43999999999997
-1.380000114440918,0.1299999237060554,-1.180000228881834,13.93,167.15999999999997
-0.25,1.1000004577636737,-1.5499993133544905,14.330000000000002,171.96
-0.18000006675720215,0.6100004577636717,-3.3199992370605464,12.02,144.23999999999998
-0.10000038146972656,-0.09000007629394347,-28.019999542236327,11.930000000000001,143.16
-0.3400001525878906,-0.04000083923339659,-7.859999313354493,12.170000000000002,146.04
-0.2700004577636719,-11.160000915527343,-1.7799998474121104,0.9000000000000004,10.800000000000002
-0.19999980926513672,0.01999969482421804,-2.840000610351563,9.399999999999999,112.79999999999997
-0.32000017166137695,-11.259999923706054,-1.0500000000000007,0.6400000000000006,7.680000000000006
-0.3100004196166992,-11.509999771118164,1.1700000000000017,0.5400000000000009,6.48000000000001
-0.26999998092651367,-0.13999954223632827,-1.9899992370605446,11.86,142.31999999999996
-0.19999980926513672,-0.019999313354492898,-1.9800003814697256,11.899999999999999,142.79999999999995
-4.710000038146973,0.09000038146972678,-4.740000381469727,13.95,167.39999999999998
